precision,recall,threshold
0.2,1.0,0.04140317812561989
0.20002667022269635,1.0,0.0431094616651535
0.20005334755934917,1.0,0.044078897684812546
0.2000800320128051,1.0,0.044526003301143646
0.2001067235859125,1.0,0.044775187969207764
0.200133422281521,1.0,0.04478762298822403
0.200160128102482,1.0,0.04490496590733528
0.20018684105164822,1.0,0.045422181487083435
0.200213561131874,1.0,0.04551732912659645
0.2002402883460152,1.0,0.045527223497629166
0.20026702269692923,1.0,0.04558391869068146
0.20029376418747497,1.0,0.04570600762963295
0.20032051282051283,1.0,0.04571836441755295
0.20034726859890478,1.0,0.04582337662577629
0.2003740315255143,1.0,0.04587017744779587
0.20040080160320642,1.0,0.04589661583304405
0.20042757883484769,1.0,0.0459212064743042
0.20045436322330615,1.0,0.04592712223529816
0.20048115477145148,1.0,0.045945022255182266
0.2005079534821548,1.0,0.04602499306201935
0.20053475935828877,1.0,0.046064842492341995
0.20056157240272765,1.0,0.046117041260004044
0.20058839261834716,1.0,0.04616143926978111
0.20061522000802462,1.0,0.04616915062069893
0.20064205457463885,1.0,0.04623086005449295
0.20066889632107024,1.0,0.04625948518514633
0.2006957452502007,1.0,0.046275485306978226
0.20072260136491368,1.0,0.04639805480837822
0.2007494646680942,1.0,0.046409305185079575
0.20077633516262883,1.0,0.046519942581653595
0.20080321285140562,1.0,0.046564001590013504
0.20083009773731422,1.0,0.046611618250608444
0.2008838891120932,1.0,0.04670907184481621
0.2009107956067506,1.0,0.04679405316710472
0.20093770931011387,1.0,0.046825554221868515
0.20096463022508038,1.0,0.04684653505682945
0.2009915583545491,1.0,0.04687374085187912
0.20101849370142053,1.0,0.04688264802098274
0.2010454362685967,1.0,0.04691676050424576
0.20107238605898123,1.0,0.04694113880395889
0.20109934307547928,1.0,0.04694273695349693
0.2011263073209976,1.0,0.04695265740156174
0.2011532787984444,1.0,0.0469861701130867
0.20118025751072963,1.0,0.047013916075229645
0.2012072434607646,1.0,0.04706369712948799
0.2012342366514623,1.0,0.04711657762527466
0.2012612370857373,1.0,0.04712102189660072
0.20128824476650564,1.0,0.047124747186899185
0.201315259696685,1.0,0.04715930297970772
0.20134228187919462,1.0,0.047162190079689026
0.2013693113169553,1.0,0.04717377573251724
0.20139634801288936,1.0,0.04717839136719704
0.20142339196992076,1.0,0.04722251370549202
0.20145044319097502,1.0,0.04724190756678581
0.20147750167897918,1.0,0.04732998460531235
0.2015045674368619,1.0,0.04733629524707794
0.2015316404675534,1.0,0.04735035076737404
0.20155872077398548,1.0,0.047354720532894135
0.2015858083590915,1.0,0.04738474637269974
0.20161290322580644,1.0,0.047386534512043
0.2016400053770668,1.0,0.047397010028362274
0.2016671148158107,1.0,0.04740967974066734
0.20169423154497781,1.0,0.047410912811756134
0.20172135556750942,1.0,0.04741468280553818
0.20174848688634836,1.0,0.04741818085312843
0.20177562550443906,1.0,0.04742467775940895
0.20180277142472758,1.0,0.047430336475372314
0.20182992465016147,1.0,0.04745935648679733
0.20185708518368994,1.0,0.04747505486011505
0.2018842530282638,1.0,0.047478120774030685
0.20191142818683538,1.0,0.047482214868068695
0.20193861066235863,1.0,0.047482818365097046
